"","Rk","Player","Pos","Age","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"399","399","Mason Plumlee","C",33,46,11,14.7,1.9,3.3,0.569,0,0.1,0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,"15.8",".621",".039",".647","10.4","28.2","19.6","10.8","1.0","2.3","15.5","15.1","1.2","0.9","2.0",".146","-1.1","0.4","-0.8","0.2"
"400","400","Brandin Podziemski","SG",20,74,28,26.6,3.7,8.1,0.454,1.2,3.2,0.385,2.4,4.9,0.499,0.529,0.7,1.1,0.633,1.6,4.2,5.8,3.7,0.8,0.2,1.2,1.6,9.2,"13.0",".540",".392",".132","6.6","16.7","11.7","18.1","1.5","0.6","12.2","15.4","2.1","2.0","4.1",".100","-0.5","0.4","-0.1","0.9"
"401","401","Jakob Poeltl","C",28,50,50,26.4,5,7.6,0.656,0,0,NA,5,7.6,0.656,0.656,1.2,2.1,0.551,2.9,5.7,8.6,2.5,0.7,1.5,1.5,3,11.1,"18.9",".653",".000",".283","11.9","24.1","17.9","14.0","1.3","5.1","15.3","16.2","2.4","1.4","3.8",".138","-0.3","1.0","0.7","0.9"
"402","402","Aleksej Pokusevski","PF",22,28,0,14.5,1.8,4.3,0.405,0.6,2,0.327,1.1,2.4,0.47,0.479,1.1,1.5,0.732,0.6,2.6,3.2,1.3,0.5,0.5,0.7,0.8,5.2,"12.7",".525",".455",".339","4.6","20.4","12.3","12.0","1.8","3.0","12.0","17.2","0.0","0.4","0.4",".050","-1.8","-0.1","-1.9","0.0"
"403","403","Jordan Poole","SG",24,78,66,30.1,6.3,15.2,0.413,2.4,7.2,0.326,3.9,8,0.492,0.491,2.5,2.8,0.877,0.4,2.3,2.7,4.4,1.1,0.3,2.4,3.1,17.4,"12.1",".529",".476",".185","1.4","8.4","4.8","21.4","1.7","0.9","12.8","26.4","-1.5","0.8","-0.6","-0.013","-2.0","-1.9","-3.9","-1.2"
"404","404","Craig Porter Jr.","PG",23,51,6,12.7,2.3,4.5,0.509,0.2,0.7,0.353,2,3.8,0.536,0.535,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6,"15.4",".564",".149",".246","3.7","15.1","9.4","26.5","1.6","2.1","15.1","20.2","0.6","0.9","1.5",".108","-0.6","1.1","0.5","0.4"
"405","405","Jontay Porter","PF",24,26,5,13.8,1.5,4,0.385,0.8,2.3,0.333,0.8,1.7,0.455,0.481,0.6,0.7,0.833,1,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,"14.9",".514",".577",".173","7.8","17.5","12.5","21.8","2.7","4.9","15.8","15.8","0.2","0.4","0.7",".089","-0.3","1.9","1.7","0.3"
"406","406","Michael Porter Jr.","SF",25,81,81,31.7,6.4,13.3,0.484,2.7,6.8,0.397,3.7,6.5,0.575,0.586,1.1,1.4,0.836,1.3,5.7,7,1.5,0.5,0.7,1.1,1.8,16.7,"15.5",".601",".513",".102","4.7","19.3","12.2","6.7","0.8","1.8","7.5","20.7","3.1","3.1","6.2",".115","1.2","-1.2","0.1","1.3"
"407","407","Otto Porter Jr.","SF",30,15,1,11.6,0.9,2.2,0.424,0.5,1.5,0.348,0.4,0.7,0.6,0.545,0.2,0.2,1,0.4,1.5,1.9,0.5,0.3,0.3,0.1,1.3,2.6,"8.7",".568",".697",".091","3.7","14.8","9.2","5.8","1.4","2.5","5.5","8.9","0.1","0.1","0.3",".070","-3.5","0.3","-3.2","-0.1"
"408","408","Bobby Portis","PF",28,82,4,24.5,5.7,11.2,0.508,1.2,3,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,"17.5",".581",".268",".135","7.9","24.8","16.6","7.8","1.6","1.4","8.6","22.9","2.1","2.6","4.7",".112","0.0","-0.8","-0.8","0.6"
"409","409","Kristaps Porziņģis","C",28,57,57,29.6,6.8,13.2,0.516,1.9,5.1,0.375,4.9,8.1,0.606,0.589,4.5,5.3,0.858,1.7,5.5,7.2,2,0.7,1.9,1.6,2.7,20.1,"23.2",".647",".390",".402","6.5","19.1","13.1","10.0","1.2","5.8","9.1","25.1","4.9","3.0","7.9",".226","3.5","1.6","5.1","3.0"
"410","410","Micah Potter","PF",25,16,0,11.6,1.2,2.5,0.475,0.6,1.3,0.429,0.6,1.2,0.526,0.588,0.4,0.5,0.75,0.6,2.1,2.7,0.4,0.3,0.4,0.3,0.9,3.3,"11.0",".609",".525",".200","6.0","19.4","12.7","4.2","1.0","2.9","10.3","10.9","0.2","0.1","0.3",".075","-1.4","-0.9","-2.3","0.0"
"411","411","Dwight Powell","C",32,63,9,13.3,1.1,1.7,0.679,0,0,0.333,1.1,1.6,0.689,0.684,1,1.4,0.708,1.5,1.9,3.4,1.3,0.4,0.3,0.5,1.8,3.3,"14.5",".716",".028",".840","12.7","15.2","14.0","12.4","1.5","2.1","18.1","9.1","2.2","0.9","3.1",".181","-1.1","0.8","-0.3","0.4"
"412","412","Norman Powell","SG",30,76,3,26.2,4.9,10.1,0.486,2.2,5.1,0.435,2.7,5.1,0.536,0.594,1.9,2.3,0.831,0.2,2.4,2.6,1.1,0.6,0.3,0.9,1.8,13.9,"13.9",".626",".500",".224","0.9","9.8","5.5","5.9","1.1","1.0","7.3","20.0","2.8","1.3","4.1",".099","0.4","-1.2","-0.8","0.6"
"413","413","Jason Preston","PG",24,7,0,10.1,0.9,2.7,0.316,0,0.4,0,0.9,2.3,0.375,0.316,0,0,NA,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4,1.7,"10.5",".316",".158",".000","9.4","16.9","13.2","28.7","1.4","1.3","9.5","12.4","0.0","0.0","0.0",".026","-2.5","-0.1","-2.6","0.0"
"414","414","Joshua Primo","SG",21,2,0,5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,0,0,NA,0.5,0,0.5,0,0,0.5,2,0,1,"-12.8",".333",".333",".000","11.7","0.0","5.6","0.0","0.0","9.0","57.1","30.7","-0.1","0.0","-0.1","-0.585","-16.8","-8.2","-25.0","-0.1"
"415","415","Taurean Prince","PF",29,78,49,27,3.2,7.3,0.442,1.8,4.6,0.396,1.4,2.8,0.519,0.566,0.6,0.9,0.735,0.3,2.7,2.9,1.5,0.7,0.4,0.9,1.9,8.9,"8.8",".579",".622",".119","1.2","10.5","6.1","7.2","1.3","1.4","10.8","13.8","0.3","1.7","1.9",".043","-2.6","-0.2","-2.8","-0.4"
